Joint,MAE,RMSE
0,0.23439031970212384,0.331696557931101
1,3.0885185100803456,28.263431480218834
2,0.12267657328627288,0.2003447153258718
3,0.5767509520058033,0.8032426968264326
4,3.620608253620456,30.92966633222275
5,0.1632191525135221,0.22958534806341696
6,0.9079129234323966,1.3321654192204109
7,3.223103859274895,28.007191971552867
8,0.22875694291468232,0.3422335668965637
9,0.8588092695888896,1.216155846166106
10,0.08571599590640987,0.12243149324599936
11,0.05211542671389376,0.07944251225506668
12,1.7025799112899649,2.538871473300678
13,2.658022512834266,25.35393518936809
14,1.538151780363591,16.158300455590314
15,2.6693082210502466,3.767081561244982
16,1.5558940301979807,13.713965519962796
17,1.1141139460215783,6.676001385896009
18,0.9938960775231985,1.312325767210242
19,0.2327991336205252,0.39198688607629434
20,0.22588108097636758,0.3720896945606484
21,1.9588961702215006,2.6088383563332616
22,1.7648755935455867,3.9762833796960373
23,1.7331241352072135,3.9398730778177837
24,3.0034762816696117,4.00039291886488
25,2.40607519058866,19.159040235431473
26,1.3570966847197798,4.593341067073186
